OriginAirportCode	DestinationAirportCode	FlightDate	FinalScore	Total Dollar	Total Points	IsDomesticRoute	LastDayOfFare	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday
JFK	ABQ	12/7/17 20:00	805.66	150.35	8505.6	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	12/7/17 20:00	805.66	150.35	0	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	1/8/18 19:58	826.78	135.14	7405.6	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	1/8/18 19:58	826.78	135.14	0	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	1/18/18 19:58	880.17	87	4105.6	1	3/27/18 19:50	1	1	0	1	1	0	1
JFK	ABQ	1/18/18 19:58	880.17	87	0	1	3/27/18 19:50	1	1	0	1	1	0	1
JFK	ABQ	1/8/18 19:58	905.2	119.11	6305.6	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	1/8/18 19:58	905.2	119.11	0	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	1/18/18 19:58	942.9	103.05	5205.6	1	3/27/18 19:50	1	1	1	1	1	1	1
JFK	ABQ	1/18/18 19:58	942.9	103.05	5205.6	1	3/27/18 19:50	1	1	1	1	1	1	1
BOS	ACK	12/3/17 12:50	41.88	158.09	5205.6	1	12/31/17 15:40	0	0	0	0	0	0	1
BOS	ACK	12/3/17 12:50	117.13	190.19	5205.6	1	3/28/18 16:25	1	1	1	1	1	1	1
BOS	ACK	12/3/17 12:50	127.88	179.49	5205.6	1	3/28/18 16:25	1	1	1	1	1	1	1
FLL	ALB	12/16/17 13:30	35.95	96.85	5205.6	1	1/10/18 12:55	1	1	1	1	1	1	1
FLL	ALB	12/16/17 13:30	35.95	96.85	5205.6	1	1/10/18 12:55	1	1	1	1	1	1	1
MCO	ALB	12/16/17 11:34	223.62	102.21	5205.6	1	1/10/18 12:02	1	1	1	1	1	1	1
MCO	ALB	12/16/17 11:34	223.62	102.21	5205.6	1	1/10/18 12:02	1	1	1	1	1	1	1
FLL	ALB	11/30/17 13:09	528.2	104.35	5205.6	1	2/14/18 12:55	0	1	1	1	0	1	0
FLL	ALB	11/30/17 13:09	528.2	104.35	5205.6	1	2/14/18 12:55	0	1	1	1	0	1	0
MCO	ALB	12/6/17 11:38	583.28	107.56	5205.6	1	2/14/18 12:02	1	1	1	1	0	0	0
MCO	ALB	12/6/17 11:38	583.28	107.56	5205.6	1	2/14/18 12:02	1	1	1	1	0	0	0
FLL	ALB	11/30/17 13:09	669.42	113.98	5205.6	1	3/28/18 13:52	0	1	1	1	1	1	0
FLL	ALB	11/30/17 13:09	669.42	113.98	5205.6	1	3/28/18 13:52	0	1	1	1	1	1	0
MCO	ALB	12/6/17 11:38	673.36	112.91	5205.6	1	2/14/18 12:02	1	1	1	1	1	0	0
MCO	ALB	12/6/17 11:38	673.36	112.91	5205.6	1	2/14/18 12:02	1	1	1	1	1	0	0
FLL	ALB	11/30/17 13:09	680.4	118.26	5205.6	1	3/28/18 13:52	0	1	1	1	1	1	0
FLL	ALB	11/30/17 13:09	680.4	118.26	5205.6	1	3/28/18 13:52	0	1	1	1	1	1	0
FLL	ALB	11/30/17 13:09	699.72	112.68	5205.6	1	3/28/18 13:52	0	1	1	1	1	1	0
FLL	ALB	11/30/17 13:09	699.72	112.68	5205.6	1	3/28/18 13:52	0	1	1	1	1	1	0
MCO	ALB	12/6/17 11:38	701.95	117.19	5205.6	1	3/22/18 11:16	1	1	1	1	1	0	0
MCO	ALB	12/6/17 11:38	701.95	117.19	5205.6	1	3/22/18 11:16	1	1	1	1	1	0	0
MCO	ALB	12/6/17 11:38	726.07	118.26	5205.6	1	3/22/18 11:16	1	1	1	1	1	0	0
MCO	ALB	12/6/17 11:38	726.07	118.26	5205.6	1	3/22/18 11:16	1	1	1	1	1	0	0
JFK	ANU	12/10/17 11:05	373.48	286.2	5205.6	0	3/27/18 7:50	0	1	0	1	0	0	1
JFK	ANU	12/10/17 11:05	373.48	286.2	5205.6	0	3/27/18 7:50	0	1	0	1	0	0	1
JFK	ANU	12/31/17 11:08	506.22	256.2	5205.6	0	3/20/18 7:50	0	1	0	1	0	0	1
