Origin,Destination,FlightDate,Total Dollars,Total Points,IsDomesticRoute
JFK,ABQ,11/30/17 20:00,300.96,0,1
JFK,ABQ,11/30/17 20:00,300.96,24305.6,1
JFK,ABQ,12/1/17 20:00,300.96,0,1
JFK,ABQ,12/1/17 20:00,300.96,24305.6,1
JFK,ABQ,12/3/17 20:00,226.07,0,1
JFK,ABQ,12/3/17 20:00,226.07,14805.6,1
JFK,ABQ,12/4/17 20:00,226.07,0,1
JFK,ABQ,12/4/17 20:00,226.07,14805.6,1
JFK,ABQ,12/7/17 20:00,150.35,0,1
JFK,ABQ,12/7/17 20:00,150.35,8505.6,1
JFK,ABQ,12/8/17 20:00,150.35,0,1
JFK,ABQ,12/8/17 20:00,150.35,8505.6,1
JFK,ABQ,12/10/17 20:00,172.58,0,1
JFK,ABQ,12/10/17 20:00,172.58,10005.6,1
JFK,ABQ,12/11/17 20:00,172.58,0,1
JFK,ABQ,12/11/17 20:00,172.58,10005.6,1
JFK,ABQ,12/14/17 20:00,258.18,0,1
JFK,ABQ,12/14/17 20:00,258.18,18705.6,1
JFK,ABQ,12/15/17 20:00,186.99,0,1
JFK,ABQ,12/15/17 20:00,186.99,11005.6,1
JFK,ABQ,12/16/17 20:00,163.46,0,1
JFK,ABQ,12/16/17 20:00,163.46,9405.6,1
JFK,ABQ,12/17/17 20:00,457.64,0,1
JFK,ABQ,12/17/17 20:00,457.64,42305.6,1
JFK,ABQ,12/18/17 20:00,516.48,0,1
JFK,ABQ,12/18/17 20:00,516.48,48105.6,1
JFK,ABQ,12/19/17 20:00,457.64,0,1
JFK,ABQ,12/19/17 20:00,457.64,42305.6,1
JFK,ABQ,12/20/17 20:00,516.48,0,1
JFK,ABQ,12/20/17 20:00,516.48,48105.6,1
JFK,ABQ,12/21/17 20:00,516.48,0,1
JFK,ABQ,12/21/17 20:00,516.48,48105.6,1
JFK,ABQ,12/22/17 20:00,723.2,0,1
JFK,ABQ,12/22/17 20:00,723.2,72205.6,1
JFK,ABQ,12/23/17 20:00,723.2,0,1
JFK,ABQ,12/23/17 20:00,723.2,72205.6,1
JFK,ABQ,12/24/17 20:00,457.64,0,1
JFK,ABQ,12/24/17 20:00,457.64,42305.6,1
JFK,ABQ,12/25/17 20:00,457.64,0,1
JFK,ABQ,12/25/17 20:00,457.64,42305.6,1
JFK,ABQ,12/26/17 20:00,477.16,0,1
JFK,ABQ,12/26/17 20:00,477.16,44205.6,1
JFK,ABQ,12/27/17 20:00,387.05,0,1
JFK,ABQ,12/27/17 20:00,387.05,35305.6,1
JFK,ABQ,12/28/17 20:00,328.2,0,1
JFK,ABQ,12/28/17 20:00,328.2,26705.6,1
JFK,ABQ,12/29/17 20:00,387.05,0,1
JFK,ABQ,12/29/17 20:00,387.05,35305.6,1
JFK,ABQ,12/30/17 20:00,328.2,0,1
JFK,ABQ,12/30/17 20:00,328.2,26705.6,1
JFK,ABQ,12/31/17 20:00,186.99,0,1
JFK,ABQ,12/31/17 20:00,186.99,11005.6,1
JFK,ABQ,1/1/18 20:00,292.63,0,1
JFK,ABQ,1/1/18 20:00,292.63,21505.6,1
JFK,ABQ,1/2/18 20:00,292.63,0,1
JFK,ABQ,1/2/18 20:00,292.63,21505.6,1
JFK,ABQ,1/3/18 20:00,224.96,0,1
JFK,ABQ,1/3/18 20:00,224.96,13705.6,1
JFK,ABQ,1/4/18 19:58,151.19,0,1
JFK,ABQ,1/4/18 19:58,151.19,8605.6,1
JFK,ABQ,1/5/18 19:58,172.58,0,1
JFK,ABQ,1/5/18 19:58,172.58,10005.6,1
JFK,ABQ,1/7/18 19:58,151.19,0,1
JFK,ABQ,1/7/18 19:58,151.19,8605.6,1
JFK,ABQ,1/8/18 19:58,119.11,0,1
JFK,ABQ,1/8/18 19:58,119.11,6305.6,1
JFK,ABQ,1/11/18 19:58,172.58,0,1
JFK,ABQ,1/11/18 19:58,172.58,10005.6,1
JFK,ABQ,1/12/18 19:58,186.99,0,1
JFK,ABQ,1/12/18 19:58,186.99,11005.6,1
JFK,ABQ,1/14/18 19:58,119.11,0,1
JFK,ABQ,1/14/18 19:58,119.11,6305.6,1
JFK,ABQ,1/15/18 19:58,119.11,0,1
JFK,ABQ,1/15/18 19:58,119.11,6305.6,1
JFK,ABQ,1/18/18 19:58,87,0,1
JFK,ABQ,1/18/18 19:58,87,4105.6,1
JFK,ABQ,1/19/18 19:58,87,0,1
JFK,ABQ,1/19/18 19:58,87,4105.6,1
JFK,ABQ,1/21/18 19:58,87,0,1
JFK,ABQ,1/21/18 19:58,87,4105.6,1
JFK,ABQ,1/22/18 19:58,103.05,0,1
JFK,ABQ,1/22/18 19:58,103.05,5205.6,1
JFK,ABQ,1/25/18 19:58,87,0,1
JFK,ABQ,1/25/18 19:58,87,4105.6,1
JFK,ABQ,1/26/18 19:58,87,0,1
JFK,ABQ,1/26/18 19:58,87,4105.6,1
JFK,ABQ,1/28/18 19:58,87,0,1
JFK,ABQ,1/28/18 19:58,87,4105.6,1
JFK,ABQ,1/29/18 19:58,87,0,1
JFK,ABQ,1/29/18 19:58,87,4105.6,1
JFK,ABQ,2/1/18 19:58,87,0,1
JFK,ABQ,2/1/18 19:58,87,4105.6,1
JFK,ABQ,2/2/18 19:58,87,0,1
JFK,ABQ,2/2/18 19:58,87,4105.6,1
JFK,ABQ,2/4/18 19:58,87,0,1
JFK,ABQ,2/4/18 19:58,87,4105.6,1
JFK,ABQ,2/5/18 19:58,103.05,0,1
JFK,ABQ,2/5/18 19:58,103.05,5205.6,1
JFK,ABQ,2/8/18 19:58,103.05,0,1
JFK,ABQ,2/8/18 19:58,103.05,5205.6,1
JFK,ABQ,2/9/18 19:58,103.05,0,1
JFK,ABQ,2/9/18 19:58,103.05,5205.6,1
JFK,ABQ,2/11/18 19:58,87,0,1
JFK,ABQ,2/11/18 19:58,87,4105.6,1
JFK,ABQ,2/12/18 19:58,103.05,0,1
JFK,ABQ,2/12/18 19:58,103.05,5205.6,1
JFK,ABQ,2/15/18 19:50,258.18,0,1
JFK,ABQ,2/15/18 19:50,258.18,18705.6,1
JFK,ABQ,2/16/18 19:50,285.73,0,1
JFK,ABQ,2/16/18 19:50,285.73,21005.6,1
JFK,ABQ,2/17/18 19:50,186.99,0,1
JFK,ABQ,2/17/18 19:50,186.99,11005.6,1
JFK,ABQ,2/18/18 19:50,119.11,0,1
JFK,ABQ,2/18/18 19:50,119.11,6305.6,1
JFK,ABQ,2/19/18 19:50,135.14,0,1
JFK,ABQ,2/19/18 19:50,135.14,7405.6,1
JFK,ABQ,2/20/18 19:50,87,0,1
JFK,ABQ,2/20/18 19:50,87,4105.6,1
JFK,ABQ,2/21/18 19:50,87,0,1
JFK,ABQ,2/21/18 19:50,87,4105.6,1
JFK,ABQ,2/22/18 19:50,87,0,1
JFK,ABQ,2/22/18 19:50,87,4105.6,1
JFK,ABQ,2/23/18 19:50,87,0,1
JFK,ABQ,2/23/18 19:50,87,4105.6,1
JFK,ABQ,2/24/18 19:50,87,0,1
JFK,ABQ,2/24/18 19:50,87,4105.6,1
JFK,ABQ,2/25/18 19:50,87,0,1
JFK,ABQ,2/25/18 19:50,87,4105.6,1
JFK,ABQ,2/26/18 19:50,87,0,1
JFK,ABQ,2/26/18 19:50,87,4105.6,1
JFK,ABQ,3/1/18 19:50,103.05,0,1
JFK,ABQ,3/1/18 19:50,103.05,5205.6,1
